path,description,colorSpace,component0,component1,component2,alpha,hex,extensions
color.foreground.input.success.$root,Fill color for input elements in a success validation state,{$ref:#/color/palette/green/20/$value/colorSpace},{$ref:#/color/palette/green/20/$value/components/0},{$ref:#/color/palette/green/20/$value/components/1},{$ref:#/color/palette/green/20/$value/components/2},,,
color.foreground.input.success.hover,Fill color to use when the element using the success input foreground is in a hover state,{$ref:#/color/foreground/input/success/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/hover/onLight/$value},{$ref:#/color/foreground/input/success/$root/$value/components/1},{$ref:#/color/foreground/input/success/$root/$value/components/2},,,
color.foreground.input.success.active,Fill color to use when the element using the success input foreground is in an active state,{$ref:#/color/foreground/input/success/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/active/onLight/$value},{$ref:#/color/foreground/input/success/$root/$value/components/1},{$ref:#/color/foreground/input/success/$root/$value/components/2},,,
color.foreground.input.success.disabled,Fill color to use when the element using the success input foreground is in a disabled state,{$ref:#/color/foreground/input/success/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/disabled/onLight/$value},{$ref:#/color/foreground/input/success/$root/$value/components/1},{$ref:#/color/foreground/input/success/$root/$value/components/2},,,
color.foreground.input.success.layer2.$root,Fill color for input elements in a success validation state placed on layer 2 backgrounds,{$ref:#/color/palette/green/40/$value/colorSpace},{$ref:#/color/palette/green/40/$value/components/0},{$ref:#/color/palette/green/40/$value/components/1},{$ref:#/color/palette/green/40/$value/components/2},,,
color.foreground.input.success.layer2.hover,Fill color to use when the element using the success input layer 2 foreground is in a hover state,{$ref:#/color/foreground/input/success/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/hover/onLayer2/onLight/$value},{$ref:#/color/foreground/input/success/layer2/$root/$value/components/1},{$ref:#/color/foreground/input/success/layer2/$root/$value/components/2},,,
color.foreground.input.success.layer2.active,Fill color to use when the element using the success input layer 2 foreground is in an active state,{$ref:#/color/foreground/input/success/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/active/onLayer2/onLight/$value},{$ref:#/color/foreground/input/success/layer2/$root/$value/components/1},{$ref:#/color/foreground/input/success/layer2/$root/$value/components/2},,,
color.foreground.input.success.layer2.disabled,Fill color to use when the element using the success input layer 2 foreground is in a disabled state,{$ref:#/color/foreground/input/success/layer2/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/disabled/onLayer2/onLight/$value},{$ref:#/color/foreground/input/success/layer2/$root/$value/components/1},{$ref:#/color/foreground/input/success/layer2/$root/$value/components/2},,,
color.foreground.input.success.layer3.$root,Fill color for input elements in a success validation state placed on layer 3 backgrounds,{$ref:#/color/palette/green/20/$value/colorSpace},{$ref:#/color/palette/green/20/$value/components/0},{$ref:#/color/palette/green/20/$value/components/1},{$ref:#/color/palette/green/20/$value/components/2},,,
color.foreground.input.success.layer3.hover,Fill color to use when the element using the success input layer 3 foreground is in a hover state,{$ref:#/color/foreground/input/success/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/hover/onLayer3/onLight/$value},{$ref:#/color/foreground/input/success/layer3/$root/$value/components/1},{$ref:#/color/foreground/input/success/layer3/$root/$value/components/2},,,
color.foreground.input.success.layer3.active,Fill color to use when the element using the success input layer 3 foreground is in an active state,{$ref:#/color/foreground/input/success/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/active/onLayer3/onLight/$value},{$ref:#/color/foreground/input/success/layer3/$root/$value/components/1},{$ref:#/color/foreground/input/success/layer3/$root/$value/components/2},,,
color.foreground.input.success.layer3.disabled,Fill color to use when the element using the success input layer 3 foreground is in a disabled state,{$ref:#/color/foreground/input/success/layer3/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/input/disabled/onLayer3/onLight/$value},{$ref:#/color/foreground/input/success/layer3/$root/$value/components/1},{$ref:#/color/foreground/input/success/layer3/$root/$value/components/2},,,
color.foreground.primary.$root,Fill color for primary interactive elements such as buttons that need high visual prominence,{$ref:#/color/palette/black/$value/colorSpace},{$ref:#/color/palette/black/$value/components/0},{$ref:#/color/palette/black/$value/components/1},{$ref:#/color/palette/black/$value/components/2},,,
color.foreground.primary.hover,Fill color to use when the element using the primary foreground is in a hover state,{$ref:#/color/foreground/primary/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/root/hover/onLight/$value},{$ref:#/color/foreground/primary/$root/$value/components/1},{$ref:#/color/foreground/primary/$root/$value/components/2},,,
color.foreground.primary.active,Fill color to use when the element using the primary foreground is in an active state,{$ref:#/color/foreground/primary/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/root/active/onLight/$value},{$ref:#/color/foreground/primary/$root/$value/components/1},{$ref:#/color/foreground/primary/$root/$value/components/2},,,
color.foreground.primary.disabled,Fill color to use when the element using the primary foreground is in a disabled state,{$ref:#/color/foreground/primary/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/root/disabled/onLight/$value},{$ref:#/color/foreground/primary/$root/$value/components/1},{$ref:#/color/foreground/primary/$root/$value/components/2},,,
color.foreground.primary.destructive.$root,Fill color for primary interactive elements that perform destructive actions such as delete or remove,{$ref:#/color/palette/red/520/$value/colorSpace},{$ref:#/color/palette/red/520/$value/components/0},{$ref:#/color/palette/red/520/$value/components/1},{$ref:#/color/palette/red/520/$value/components/2},,,
color.foreground.primary.destructive.hover,Fill color to use when the element using the destructive primary foreground is in a hover state,{$ref:#/color/foreground/primary/destructive/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/hover/onLight/$value},{$ref:#/color/foreground/primary/destructive/$root/$value/components/1},{$ref:#/color/foreground/primary/destructive/$root/$value/components/2},,,
color.foreground.primary.destructive.active,Fill color to use when the element using the destructive primary foreground is in an active state,{$ref:#/color/foreground/primary/destructive/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/active/onLight/$value},{$ref:#/color/foreground/primary/destructive/$root/$value/components/1},{$ref:#/color/foreground/primary/destructive/$root/$value/components/2},,,
color.foreground.primary.destructive.disabled,Fill color to use when the element using the destructive primary foreground is in a disabled state,{$ref:#/color/foreground/primary/destructive/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/disabled/onLight/$value},{$ref:#/color/foreground/primary/destructive/$root/$value/components/1},{$ref:#/color/foreground/primary/destructive/$root/$value/components/2},,,
color.foreground.primary.constructive.$root,"Fill color for primary interactive elements that perform constructive actions such as save, submit, or confirm",{$ref:#/color/palette/green/520/$value/colorSpace},{$ref:#/color/palette/green/520/$value/components/0},{$ref:#/color/palette/green/520/$value/components/1},{$ref:#/color/palette/green/520/$value/components/2},,,
color.foreground.primary.constructive.hover,Fill color to use when the element using the constructive primary foreground is in a hover state,{$ref:#/color/foreground/primary/constructive/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/hover/onLight/$value},{$ref:#/color/foreground/primary/constructive/$root/$value/components/1},{$ref:#/color/foreground/primary/constructive/$root/$value/components/2},,,
color.foreground.primary.constructive.active,Fill color to use when the element using the constructive primary foreground is in an active state,{$ref:#/color/foreground/primary/constructive/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/active/onLight/$value},{$ref:#/color/foreground/primary/constructive/$root/$value/components/1},{$ref:#/color/foreground/primary/constructive/$root/$value/components/2},,,
color.foreground.primary.constructive.disabled,Fill color to use when the element using the constructive primary foreground is in a disabled state,{$ref:#/color/foreground/primary/constructive/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/disabled/onLight/$value},{$ref:#/color/foreground/primary/constructive/$root/$value/components/1},{$ref:#/color/foreground/primary/constructive/$root/$value/components/2},,,
color.foreground.primary.branded.$root,Fill color for primary interactive elements that need to reflect the brand identity,{$ref:#/color/palette/orange/520/$value/colorSpace},{$ref:#/color/palette/orange/520/$value/components/0},{$ref:#/color/palette/orange/520/$value/components/1},{$ref:#/color/palette/orange/520/$value/components/2},,,
color.foreground.primary.branded.hover,Fill color to use when the element using the branded primary foreground is in a hover state,{$ref:#/color/foreground/primary/branded/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/hover/onLight/$value},{$ref:#/color/foreground/primary/branded/$root/$value/components/1},{$ref:#/color/foreground/primary/branded/$root/$value/components/2},,,
color.foreground.primary.branded.active,Fill color to use when the element using the branded primary foreground is in an active state,{$ref:#/color/foreground/primary/branded/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/active/onLight/$value},{$ref:#/color/foreground/primary/branded/$root/$value/components/1},{$ref:#/color/foreground/primary/branded/$root/$value/components/2},,,
color.foreground.primary.branded.disabled,Fill color to use when the element using the branded primary foreground is in a disabled state,{$ref:#/color/foreground/primary/branded/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/disabled/onLight/$value},{$ref:#/color/foreground/primary/branded/$root/$value/components/1},{$ref:#/color/foreground/primary/branded/$root/$value/components/2},,,
color.foreground.secondary.$root,Fill color for secondary interactive elements such as chips that need lower visual prominence than primary,{$ref:#/color/palette/gray/100/$value/colorSpace},{$ref:#/color/palette/gray/100/$value/components/0},{$ref:#/color/palette/gray/100/$value/components/1},{$ref:#/color/palette/gray/100/$value/components/2},,,
color.foreground.secondary.hover,Fill color to use when the element using the secondary foreground is in a hover state,{$ref:#/color/foreground/secondary/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/hover/onLight/$value},{$ref:#/color/foreground/secondary/$root/$value/components/1},{$ref:#/color/foreground/secondary/$root/$value/components/2},,,
color.foreground.secondary.active,Fill color to use when the element using the secondary foreground is in an active state,{$ref:#/color/foreground/secondary/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/active/onLight/$value},{$ref:#/color/foreground/secondary/$root/$value/components/1},{$ref:#/color/foreground/secondary/$root/$value/components/2},,,
color.foreground.secondary.disabled,Fill color to use when the element using the secondary foreground is in a disabled state,{$ref:#/color/foreground/secondary/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/disabled/onLight/$value},{$ref:#/color/foreground/secondary/$root/$value/components/1},{$ref:#/color/foreground/secondary/$root/$value/components/2},,,
color.foreground.secondary.information.$root,Fill color for secondary interactive elements conveying informational or neutral feedback,{$ref:#/color/palette/blue/100/$value/colorSpace},{$ref:#/color/palette/blue/100/$value/components/0},{$ref:#/color/palette/blue/100/$value/components/1},{$ref:#/color/palette/blue/100/$value/components/2},,,
color.foreground.secondary.information.hover,Fill color to use when the element using the information secondary foreground is in a hover state,{$ref:#/color/foreground/secondary/information/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/hover/onLight/$value},{$ref:#/color/foreground/secondary/information/$root/$value/components/1},{$ref:#/color/foreground/secondary/information/$root/$value/components/2},,,
color.foreground.secondary.information.active,Fill color to use when the element using the information secondary foreground is in an active state,{$ref:#/color/foreground/secondary/information/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/active/onLight/$value},{$ref:#/color/foreground/secondary/information/$root/$value/components/1},{$ref:#/color/foreground/secondary/information/$root/$value/components/2},,,
color.foreground.secondary.information.disabled,Fill color to use when the element using the information secondary foreground is in a disabled state,{$ref:#/color/foreground/secondary/information/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/disabled/onLight/$value},{$ref:#/color/foreground/secondary/information/$root/$value/components/1},{$ref:#/color/foreground/secondary/information/$root/$value/components/2},,,
color.foreground.secondary.warning.$root,Fill color for secondary interactive elements conveying caution or potential issues,{$ref:#/color/palette/yellow/100/$value/colorSpace},{$ref:#/color/palette/yellow/100/$value/components/0},{$ref:#/color/palette/yellow/100/$value/components/1},{$ref:#/color/palette/yellow/100/$value/components/2},,,
color.foreground.secondary.warning.hover,Fill color to use when the element using the warning secondary foreground is in a hover state,{$ref:#/color/foreground/secondary/warning/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/hover/onLight/$value},{$ref:#/color/foreground/secondary/warning/$root/$value/components/1},{$ref:#/color/foreground/secondary/warning/$root/$value/components/2},,,
color.foreground.secondary.warning.active,Fill color to use when the element using the warning secondary foreground is in an active state,{$ref:#/color/foreground/secondary/warning/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/active/onLight/$value},{$ref:#/color/foreground/secondary/warning/$root/$value/components/1},{$ref:#/color/foreground/secondary/warning/$root/$value/components/2},,,
color.foreground.secondary.warning.disabled,Fill color to use when the element using the warning secondary foreground is in a disabled state,{$ref:#/color/foreground/secondary/warning/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/disabled/onLight/$value},{$ref:#/color/foreground/secondary/warning/$root/$value/components/1},{$ref:#/color/foreground/secondary/warning/$root/$value/components/2},,,
color.foreground.secondary.error.$root,Fill color for secondary interactive elements indicating errors or critical issues,{$ref:#/color/palette/red/100/$value/colorSpace},{$ref:#/color/palette/red/100/$value/components/0},{$ref:#/color/palette/red/100/$value/components/1},{$ref:#/color/palette/red/100/$value/components/2},,,
color.foreground.secondary.error.hover,Fill color to use when the element using the error secondary foreground is in a hover state,{$ref:#/color/foreground/secondary/error/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/hover/onLight/$value},{$ref:#/color/foreground/secondary/error/$root/$value/components/1},{$ref:#/color/foreground/secondary/error/$root/$value/components/2},,,
color.foreground.secondary.error.active,Fill color to use when the element using the error secondary foreground is in an active state,{$ref:#/color/foreground/secondary/error/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/active/onLight/$value},{$ref:#/color/foreground/secondary/error/$root/$value/components/1},{$ref:#/color/foreground/secondary/error/$root/$value/components/2},,,
color.foreground.secondary.error.disabled,Fill color to use when the element using the error secondary foreground is in a disabled state,{$ref:#/color/foreground/secondary/error/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/disabled/onLight/$value},{$ref:#/color/foreground/secondary/error/$root/$value/components/1},{$ref:#/color/foreground/secondary/error/$root/$value/components/2},,,
color.foreground.secondary.success.$root,Fill color for secondary interactive elements indicating successful completion or positive outcomes,{$ref:#/color/palette/green/100/$value/colorSpace},{$ref:#/color/palette/green/100/$value/components/0},{$ref:#/color/palette/green/100/$value/components/1},{$ref:#/color/palette/green/100/$value/components/2},,,
color.foreground.secondary.success.hover,Fill color to use when the element using the success secondary foreground is in a hover state,{$ref:#/color/foreground/secondary/success/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/hover/onLight/$value},{$ref:#/color/foreground/secondary/success/$root/$value/components/1},{$ref:#/color/foreground/secondary/success/$root/$value/components/2},,,
color.foreground.secondary.success.active,Fill color to use when the element using the success secondary foreground is in an active state,{$ref:#/color/foreground/secondary/success/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/active/onLight/$value},{$ref:#/color/foreground/secondary/success/$root/$value/components/1},{$ref:#/color/foreground/secondary/success/$root/$value/components/2},,,
color.foreground.secondary.success.disabled,Fill color to use when the element using the success secondary foreground is in a disabled state,{$ref:#/color/foreground/secondary/success/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/disabled/onLight/$value},{$ref:#/color/foreground/secondary/success/$root/$value/components/1},{$ref:#/color/foreground/secondary/success/$root/$value/components/2},,,
color.foreground.secondary.branded.$root,Fill color for secondary interactive elements that need to reflect the brand identity,{$ref:#/color/palette/orange/100/$value/colorSpace},{$ref:#/color/palette/orange/100/$value/components/0},{$ref:#/color/palette/orange/100/$value/components/1},{$ref:#/color/palette/orange/100/$value/components/2},,,
color.foreground.secondary.branded.hover,Fill color to use when the element using the branded secondary foreground is in a hover state,{$ref:#/color/foreground/secondary/branded/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/hover/onLight/$value},{$ref:#/color/foreground/secondary/branded/$root/$value/components/1},{$ref:#/color/foreground/secondary/branded/$root/$value/components/2},,,
color.foreground.secondary.branded.active,Fill color to use when the element using the branded secondary foreground is in an active state,{$ref:#/color/foreground/secondary/branded/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/active/onLight/$value},{$ref:#/color/foreground/secondary/branded/$root/$value/components/1},{$ref:#/color/foreground/secondary/branded/$root/$value/components/2},,,
color.foreground.secondary.branded.disabled,Fill color to use when the element using the branded secondary foreground is in a disabled state,{$ref:#/color/foreground/secondary/branded/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/disabled/onLight/$value},{$ref:#/color/foreground/secondary/branded/$root/$value/components/1},{$ref:#/color/foreground/secondary/branded/$root/$value/components/2},,,
color.foreground.secondary.category.$root,"Fill color for secondary elements where a custom hue is needed. Use for user-generated categories, tags, or chips where semantic color meaning isn't predefined. Override number.hue.category on the element to set the hue while maintaining accessibility through consistent lightness and saturation with color.foreground.secondary.",{$ref:#/color/palette/gray/100/$value/colorSpace},{$ref:#/color/palette/gray/100/$value/components/0},{$ref:#/color/palette/gray/100/$value/components/1},{$ref:#/number/hue/category/$value},,,
color.foreground.secondary.category.hover,Fill color for category elements in a hover state,{$ref:#/color/foreground/secondary/category/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/hover/onLight/$value},{$ref:#/color/foreground/secondary/category/$root/$value/components/1},{$ref:#/color/foreground/secondary/category/$root/$value/components/2},,,
color.foreground.secondary.category.active,Fill color for category elements in an active state,{$ref:#/color/foreground/secondary/category/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/active/onLight/$value},{$ref:#/color/foreground/secondary/category/$root/$value/components/1},{$ref:#/color/foreground/secondary/category/$root/$value/components/2},,,
color.foreground.secondary.category.disabled,Fill color for category elements in a disabled state,{$ref:#/color/foreground/secondary/category/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/secondary/disabled/onLight/$value},{$ref:#/color/foreground/secondary/category/$root/$value/components/1},{$ref:#/color/foreground/secondary/category/$root/$value/components/2},,,
color.foreground.slider.progress.$root,Fill color for the progress indicator portion of slider components,{$ref:#/color/foreground/checkbox/selected/$root/$value/colorSpace},{$ref:#/color/foreground/checkbox/selected/$root/$value/components/0},{$ref:#/color/foreground/checkbox/selected/$root/$value/components/1},{$ref:#/color/foreground/checkbox/selected/$root/$value/components/2},,,
color.foreground.slider.progress.disabled,Fill color for the progress indicator portion of slider components when the slider is in a disabled state,{$ref:#/color/foreground/slider/progress/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/disabled/onLight/$value},{$ref:#/color/foreground/slider/progress/$root/$value/components/1},{$ref:#/color/foreground/slider/progress/$root/$value/components/2},,,
color.foreground.slider.track.$root,Fill color for the track background of slider components,{$ref:#/color/palette/gray/100/$value/colorSpace},{$ref:#/color/palette/gray/100/$value/components/0},{$ref:#/color/palette/gray/100/$value/components/1},{$ref:#/color/palette/gray/100/$value/components/2},,,
color.foreground.slider.track.disabled,Fill color for the track background of slider components when the slider is in a disabled state,{$ref:#/color/foreground/slider/track/$root/$value/colorSpace},{$ref:#/number/lightness/border/muted/disabled/onLight/$value},{$ref:#/color/foreground/slider/track/$root/$value/components/1},{$ref:#/color/foreground/slider/track/$root/$value/components/2},,,
color.foreground.slider.track.endstop.$root,Fill color for the endstop markers at the ends of slider tracks,{$ref:#/color/palette/gray/520/$value/colorSpace},{$ref:#/color/palette/gray/520/$value/components/0},{$ref:#/color/palette/gray/520/$value/components/1},{$ref:#/color/palette/gray/520/$value/components/2},,,
color.foreground.slider.track.endstop.disabled,Fill color for the endstop markers of slider components when the slider is in a disabled state,{$ref:#/color/foreground/slider/track/endstop/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/disabled/onLight/$value},{$ref:#/color/foreground/slider/track/endstop/$root/$value/components/1},{$ref:#/color/foreground/slider/track/endstop/$root/$value/components/2},,,
color.foreground.checkbox.checkmark.$root,Fill color for the checkmark icon inside checkbox components,{color.foreground.ghost.$root},,,,,,
color.foreground.checkbox.checkmark.disabled,Fill color for the checkmark icon inside checkbox components when the checkbox is in a disabled state,{color.foreground.ghost.disabled},,,,,,
color.foreground.checkbox.checkmark.layer2.$root,Fill color for the checkmark icon inside checkbox components placed on layer 2 backgrounds,{color.foreground.ghost.layer2.$root},,,,,,
color.foreground.checkbox.checkmark.layer2.disabled,Fill color for the checkmark icon inside checkbox components on layer 2 backgrounds when the checkbox is in a disabled state,{color.foreground.ghost.layer2.disabled},,,,,,
color.foreground.checkbox.checkmark.layer3.$root,Fill color for the checkmark icon inside checkbox components placed on layer 3 backgrounds,{color.foreground.ghost.layer3.$root},,,,,,
color.foreground.checkbox.checkmark.layer3.disabled,Fill color for the checkmark icon inside checkbox components on layer 3 backgrounds when the checkbox is in a disabled state,{color.foreground.ghost.layer3.disabled},,,,,,
color.foreground.checkbox.unselected.$root,Fill color for the checkbox container when unselected,{color.foreground.ghost.$root},,,,,,
color.foreground.checkbox.unselected.hover,Fill color for the unselected checkbox container when in a hover state,{color.foreground.ghost.hover},,,,,,
color.foreground.checkbox.unselected.active,Fill color for the unselected checkbox container when in an active state,{color.foreground.ghost.active},,,,,,
color.foreground.checkbox.unselected.disabled,Fill color for the unselected checkbox container when in a disabled state,{color.foreground.ghost.disabled},,,,,,
color.foreground.checkbox.unselected.layer2.$root,Fill color for the unselected checkbox container placed on layer 2 backgrounds,{color.foreground.ghost.layer2.$root},,,,,,
color.foreground.checkbox.unselected.layer2.hover,Fill color for the unselected checkbox container on layer 2 backgrounds when in a hover state,{color.foreground.ghost.layer2.hover},,,,,,
color.foreground.checkbox.unselected.layer2.active,Fill color for the unselected checkbox container on layer 2 backgrounds when in an active state,{color.foreground.ghost.layer2.active},,,,,,
color.foreground.checkbox.unselected.layer2.disabled,Fill color for the unselected checkbox container on layer 2 backgrounds when in a disabled state,{color.foreground.ghost.layer2.disabled},,,,,,
color.foreground.checkbox.unselected.layer3.$root,Fill color for the unselected checkbox container placed on layer 3 backgrounds,{color.foreground.ghost.layer3.$root},,,,,,
color.foreground.checkbox.unselected.layer3.hover,Fill color for the unselected checkbox container on layer 3 backgrounds when in a hover state,{color.foreground.ghost.layer3.hover},,,,,,
color.foreground.checkbox.unselected.layer3.active,Fill color for the unselected checkbox container on layer 3 backgrounds when in an active state,{color.foreground.ghost.layer3.active},,,,,,
color.foreground.checkbox.unselected.layer3.disabled,Fill color for the unselected checkbox container on layer 3 backgrounds when in a disabled state,{color.foreground.ghost.layer3.disabled},,,,,,
color.foreground.checkbox.selected.$root,Fill color for the checkbox container when selected,{$ref:#/color/palette/blue/520/$value/colorSpace},{$ref:#/color/palette/blue/520/$value/components/0},{$ref:#/color/palette/blue/520/$value/components/1},{$ref:#/color/palette/blue/520/$value/components/2},,,
color.foreground.checkbox.selected.disabled,Fill color for the selected checkbox container when in a disabled state,{$ref:#/color/foreground/checkbox/selected/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/disabled/onLight/$value},{$ref:#/color/foreground/checkbox/selected/$root/$value/components/1},{$ref:#/color/foreground/checkbox/selected/$root/$value/components/2},,,
color.foreground.radio.checkmark.$root,Fill color for the indicator dot inside radio button components,{color.foreground.checkbox.checkmark.$root},,,,,,
color.foreground.radio.checkmark.disabled,Fill color for the indicator dot inside radio button components when the radio is in a disabled state,{color.foreground.checkbox.checkmark.disabled},,,,,,
color.foreground.radio.checkmark.layer2.$root,Fill color for the indicator dot inside radio button components placed on layer 2 backgrounds,{color.foreground.checkbox.checkmark.layer2.$root},,,,,,
color.foreground.radio.checkmark.layer2.disabled,Fill color for the indicator dot inside radio button components on layer 2 backgrounds when the radio is in a disabled state,{color.foreground.checkbox.checkmark.layer2.disabled},,,,,,
color.foreground.radio.checkmark.layer3.$root,Fill color for the indicator dot inside radio button components placed on layer 3 backgrounds,{color.foreground.checkbox.checkmark.layer3.$root},,,,,,
color.foreground.radio.checkmark.layer3.disabled,Fill color for the indicator dot inside radio button components on layer 3 backgrounds when the radio is in a disabled state,{color.foreground.checkbox.checkmark.layer3.disabled},,,,,,
color.foreground.radio.unselected.$root,Fill color for the radio button container when unselected,{color.foreground.checkbox.unselected.$root},,,,,,
color.foreground.radio.unselected.hover,Fill color for the unselected radio button container when in a hover state,{color.foreground.checkbox.unselected.hover},,,,,,
color.foreground.radio.unselected.active,Fill color for the unselected radio button container when in an active state,{color.foreground.checkbox.unselected.active},,,,,,
color.foreground.radio.unselected.disabled,Fill color for the unselected radio button container when in a disabled state,{color.foreground.checkbox.unselected.disabled},,,,,,
color.foreground.radio.unselected.layer2.$root,Fill color for the unselected radio button container placed on layer 2 backgrounds,{color.foreground.checkbox.unselected.layer2.$root},,,,,,
color.foreground.radio.unselected.layer2.hover,Fill color for the unselected radio button container on layer 2 backgrounds when in a hover state,{color.foreground.checkbox.unselected.layer2.hover},,,,,,
color.foreground.radio.unselected.layer2.active,Fill color for the unselected radio button container on layer 2 backgrounds when in an active state,{color.foreground.checkbox.unselected.layer2.active},,,,,,
color.foreground.radio.unselected.layer2.disabled,Fill color for the unselected radio button container on layer 2 backgrounds when in a disabled state,{color.foreground.checkbox.unselected.layer2.disabled},,,,,,
color.foreground.radio.unselected.layer3.$root,Fill color for the unselected radio button container placed on layer 3 backgrounds,{color.foreground.checkbox.unselected.layer3.$root},,,,,,
color.foreground.radio.unselected.layer3.hover,Fill color for the unselected radio button container on layer 3 backgrounds when in a hover state,{color.foreground.checkbox.unselected.layer3.hover},,,,,,
color.foreground.radio.unselected.layer3.active,Fill color for the unselected radio button container on layer 3 backgrounds when in an active state,{color.foreground.checkbox.unselected.layer3.active},,,,,,
color.foreground.radio.unselected.layer3.disabled,Fill color for the unselected radio button container on layer 3 backgrounds when in a disabled state,{color.foreground.checkbox.unselected.layer3.disabled},,,,,,
color.foreground.radio.selected.$root,Fill color for the radio button container when selected,{color.foreground.checkbox.selected.$root},,,,,,
color.foreground.radio.selected.disabled,Fill color for the selected radio button container when in a disabled state,{color.foreground.checkbox.selected.disabled},,,,,,
color.foreground.switch.knob.$root,Fill color for the knob of switch toggle components,{color.foreground.checkbox.checkmark.$root},,,,,,
color.foreground.switch.knob.disabled,Fill color for the knob of switch toggle components when the switch is in a disabled state,{color.foreground.checkbox.checkmark.disabled},,,,,,
color.foreground.switch.knob.layer2.$root,Fill color for the knob of switch toggle components placed on layer 2 backgrounds,{color.foreground.checkbox.checkmark.layer2.$root},,,,,,
color.foreground.switch.knob.layer2.disabled,Fill color for the knob of switch toggle components on layer 2 backgrounds when the switch is in a disabled state,{color.foreground.checkbox.checkmark.layer2.disabled},,,,,,
color.foreground.switch.knob.layer3.$root,Fill color for the knob of switch toggle components placed on layer 3 backgrounds,{color.foreground.checkbox.checkmark.layer3.$root},,,,,,
color.foreground.switch.knob.layer3.disabled,Fill color for the knob of switch toggle components on layer 3 backgrounds when the switch is in a disabled state,{color.foreground.checkbox.checkmark.layer3.disabled},,,,,,
color.foreground.switch.selected.$root,Fill color for the switch track when the switch is in a selected (on) state,{color.foreground.checkbox.selected.$root},,,,,,
color.foreground.switch.selected.disabled,Fill color for the switch track when in a selected (on) and disabled state,{color.foreground.checkbox.selected.disabled},,,,,,
color.foreground.switch.unselected.$root,Fill color for the switch track when the switch is in an unselected (off) state,{$ref:#/color/palette/gray/520/$value/colorSpace},{$ref:#/color/palette/gray/520/$value/components/0},{$ref:#/color/palette/gray/520/$value/components/1},{$ref:#/color/palette/gray/520/$value/components/2},,,
color.foreground.switch.unselected.disabled,Fill color for the switch track when in an unselected (off) and disabled state,{$ref:#/color/foreground/switch/unselected/$root/$value/colorSpace},{$ref:#/number/lightness/foreground/primary/disabled/onLight/$value},{$ref:#/color/foreground/switch/unselected/$root/$value/components/1},{$ref:#/color/foreground/switch/unselected/$root/$value/components/2},,,
color.icon.$root,Default color for icons that accompany text or standalone icons,{color.text.$root},,,,,,
color.icon.disabled,Icon color to use when the element is in a disabled state,{color.text.disabled},,,,,,
color.icon.information.$root,Icon color for conveying informational or neutral feedback,{color.text.information.$root},,,,,,
color.icon.information.disabled,Information icon color to use when the element is in a disabled state,{color.text.information.disabled},,,,,,
